[Thu Jun 09 17:52:42.989515 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_connect(): Access denied for user 'root'@'172.17.0.3' (using password: NO) in /app/db.php on line 7
[Thu Jun 09 17:52:42.989609 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_select_db(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 8
[Thu Jun 09 17:52:42.989623 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_select_db(): A link to the server could not be established in /app/db.php on line 8
[Thu Jun 09 17:52:42.989656 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 11
[Thu Jun 09 17:52:42.989667 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_query(): A link to the server could not be established in /app/db.php on line 11
[Thu Jun 09 17:52:42.989688 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /app/db.php on line 15
[Thu Jun 09 17:52:42.989709 2016] [:error] [pid 9] [client 172.17.0.4:41573] PHP Warning:  mysql_close(): no MySQL-Link resource supplied in /app/db.php on line 21
[Thu Jun 09 17:53:26.774103 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_connect(): Access denied for user 'root'@'172.17.0.3' (using password: NO) in /app/db.php on line 7
[Thu Jun 09 17:53:26.774223 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_select_db(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 8
[Thu Jun 09 17:53:26.774240 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_select_db(): A link to the server could not be established in /app/db.php on line 8
[Thu Jun 09 17:53:26.774276 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_query(): Can't connect to local MySQL server through socket '/var/run/mysqld/mysqld.sock' (2) in /app/db.php on line 11
[Thu Jun 09 17:53:26.774310 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_query(): A link to the server could not be established in /app/db.php on line 11
[Thu Jun 09 17:53:26.774324 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in /app/db.php on line 15
[Thu Jun 09 17:53:26.774344 2016] [:error] [pid 10] [client 172.17.0.4:41579] PHP Warning:  mysql_close(): no MySQL-Link resource supplied in /app/db.php on line 21
[Thu Jun 09 17:56:14.516199 2016] [:error] [pid 11] [client 172.17.0.4:41605] PHP Warning:  mysql_connect(): Access denied for user 'root'@'172.17.0.3' (using password: NO) in /app/db.php on line 7
[Thu Jun 09 17:56:27.231260 2016] [:error] [pid 12] [client 172.17.0.4:41607] PHP Warning:  mysql_connect(): Access denied for user 'root'@'172.17.0.3' (using password: NO) in /app/db.php on line 7
[Thu Jun 09 18:07:12.436473 2016] [:error] [pid 9] [client 172.17.0.4:41701] PHP Parse error:  syntax error, unexpected '<' in /app/db.php on line 13
[Thu Jun 09 18:07:14.455944 2016] [:error] [pid 10] [client 172.17.0.4:41702] PHP Parse error:  syntax error, unexpected '<' in /app/db.php on line 13
[Thu Jun 09 18:07:33.658032 2016] [:error] [pid 11] [client 172.17.0.4:41706] PHP Parse error:  syntax error, unexpected '<' in /app/db.php on line 13
